Rank,Company,Market Cap
1,"Commonwealth Bank of Australia
ASX-CBA",$187.66 B
2,"BHP Group Limited
ASX-BHP",$144.27 B
3,"National Australia Bank Limited
ASX-NAB",$87.15 B
4,"Westpac Banking
ASX-WBC",$86.52 B
5,"ANZ Group Holdings Limited
ASX-ANZ",$71.41 B
6,"Wesfarmers Limited
ASX-WES",$62.34 B
7,"CSL Limited
ASX-CSL",$56.41 B
8,"Macquarie Group Limited
ASX-MQG",$52.11 B
9,"Atlassian
TEAM",$44.6 B
10,"Goodman Group
ASX-GMG",$44.16 B
