Rank,Company,Market Cap
1,"SAP SE
SAP",$317.3 B
2,"SIEMENS
ETR-SIE",$217.43 B
3,"Deutsche Telekom AG
LON-0MPH",$163.54 B
4,"ALLIANZ SE NA O.N.
ETR-ALV",$162.33 B
5,"Siemens Energy AG
ETR-ENR",$105.18 B
6,"Rheinmetall AG
ETR-RHM",$93.34 B
7,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
ETR-MUV2",$84.7 B
8,"D
Deutsche Bank Aktiengesellschaft
ETR-DBK",$66.98 B
9,"Siemens Healthineers AG
ETR-SHL",$61.12 B
10,"Merck KGaA
ETR-MRK",$59.02 B
