Rank,Company,Market Cap
1,"Samsung
KRX-005930",$953.74 B
2,"SK HYNIX
KRX-000660",$509.01 B
3,"LG Energy Solution, Ltd.
KRX-373220",$69.43 B
4,"S
SK Square
KRX-402340",$59.2 B
5,"Samsung Biologics Co.,Ltd.
KRX-207940",$57.19 B
6,"Kia
KRX-000270",$54.72 B
7,"Doosan Enerbility
KRX-034020",$47.31 B
8,"HD Hyundai Heavy Industries Co.,Ltd.
KRX-329180",$43.98 B
9,"Hanwha Aerospace
KRX-012450",$42.72 B
10,"S
Samsung C&T
KRX-028260",$39.72 B
