Rank,Company,Market Cap
1,"ASML Holding N.V.
ASML",$366.42 B
2,"AIRBUS SE
LON-0KVV",$185.67 B
3,"Prosus N.V.
AMS-PRX",$151.85 B
4,"ING Groep N.V.
ING",$68.06 B
5,"Adyen N.V.
OTC-ADYEY",$53.75 B
6,"NXP Semiconductors N.V.
NXPI",$51.78 B
7,"Universal Music Group N.V.
AMS-UMG",$49.16 B
8,"argenx SE
ARGX",$48.76 B
9,"Ferrovial SE
LON-0P2N",$43.1 B
10,"Heineken N.V.
AMS-HEIA",$43.01 B
