Rank,Company,Market Cap
1,"TSMC
TSM",$1.2 T
2,"Hon Hai Precision Industry
TPE-2317",$96.51 B
3,"Delta Electronics
TPE-2308",$84.65 B
4,"MediaTek
TPE-2454",$69.93 B
5,"Fubon Financial Holding
TPE-2881",$41.03 B
6,"Quanta Computer
TPE-2382",$37.03 B
7,"Chunghwa Telecom
CHT",$33.57 B
8,"Cathay Financial Holding
TPE-2882",$31.25 B
9,"CTBC Financial Holding
TPE-2891",$27.31 B
10,"ASE Technology Holding
ASX",$24.5 B
