Rank,Company,Market Cap
1,"NVIDIA
NVDA",$4.37 T
2,"Microsoft
MSFT",$3.82 T
3,"Apple
AAPL",$3.68 T
4,"Alphabet (Google)
GOOG",$2.97 T
5,"Amazon
AMZN",$2.31 T
6,"Meta Platforms
META",$1.78 T
7,"Broadcom
AVGO",$1.63 T
8,"Tesla
TSLA",$1.43 T
9,"Berkshire Hathaway
BRK.B",$1.07 T
10,"Walmart
WMT",$854.77 B
