Rank,Company,Market Cap
1,"LVMH
EPA-MC",$311.06 B
2,"HERMES INTL
EPA-RMS",$247.92 B
3,"L'OREAL
EPA-OR",$228.48 B
4,"Schneider Electric SE
LON-0NWV",$161 B
5,"ESSILORLUXOTTICA
EPA-EL",$146.65 B
6,"SAFRAN
EPA-SAF",$144.25 B
7,"TotalEnergies SE
TTE",$124.88 B
8,"Sanofi
SNY",$118.49 B
9,"AIR LIQUIDE
EPA-AI",$114.46 B
10,"CHRISTIAN DIOR
EPA-CDI",$105.82 B
