Rank,Company,Market Cap
1,"Spotify Technology S.A.
SPOT",$138.14 B
2,"Investor AB (publ)
STO-INVE.B",$99.98 B
3,"Atlas Copco AB (publ)
LON-0XXT",$82.88 B
4,"AB Volvo (publ)
LON-0HTP",$57.1 B
5,"EQT AB (publ)
LON-0AAZ",$42.04 B
6,"ASSA ABLOY AB (publ)
STO-ASSA.B",$39.64 B
7,"Skandinaviska Enskilda Banken AB (publ)
LON-0HBY",$37.82 B
8,"Sandvik AB (publ)
LON-0HC0",$36.01 B
9,"Swedbank AB (publ)
STO-SWED.A",$34.26 B
10,"H
Hexagon AB (publ)
STO-HEXA.B",$32.18 B
