Rank,Company,Market Cap
1,"AstraZeneca PLC
AZN",$262.55 B
2,"HSBC Holdings plc
LON-HSBA",$228.9 B
3,"Linde plc
LIN",$215.35 B
4,"SHELL PLC
AMS-SHELL",$208.16 B
5,"Arm Holdings plc
ARM",$178.08 B
6,"Unilever PLC
LON-ULVR",$151.51 B
7,"Rolls-Royce Holdings plc
OTC-RYCEY",$125.77 B
8,"Rio Tinto Group
RIO",$115.34 B
9,"British American Tobacco p.l.c.
BTI",$110.93 B
10,"GSK plc
GSK",$87.54 B
