Rank,Company,Market Cap
1,"Royal Bank of Canada
RY",$233.58 B
2,"The Toronto-Dominion Bank
TD",$162.85 B
3,"Shopify
SHOP",$157.45 B
4,"Agnico Eagle Mines Limited
AEM",$125.88 B
5,"Enbridge Inc
ENB",$115.95 B
6,"Bank of Montreal
BMO",$101.66 B
7,"Brookfield
BN",$98.46 B
8,"The Bank of Nova Scotia
BNS",$93.53 B
9,"Canadian Imperial Bank of Commerce
CM",$93 B
10,"Canadian Natural Resources Limited
CNQ",$91.15 B
