Rank,Empire,Description,Total Market Cap,Countries,% of Global,% of Empire Total
1,Empire 1.0: Steam & Colonies,British Commonwealth,$12.46 T,21,8.20%,11.52%
2,Empire 2.0: Oil & Silicon,United States,$71.60 T,1,47.12%,66.16%
3,"Empire 3.0: Rare Earths, Renewables & Robotics",China + Hong Kong + Taiwan,$24.16 T,3,15.90%,22.32%
