Rank,Company,Market Cap
1,"ASML Holding N.V.
ASML",$410.1 B
2,"AIRBUS SE
LON-0KVV",$194.46 B
3,"Prosus N.V.
AMS-PRX",$152.9 B
4,"ING Groep N.V.
ING",$73.13 B
5,"Adyen N.V.
OTC-ADYEY",$54.1 B
6,"NXP Semiconductors N.V.
NXPI",$52.63 B
7,"argenx SE
ARGX",$49.81 B
8,"Universal Music Group N.V.
AMS-UMG",$49.22 B
9,"Ferrovial SE
LON-0P2N",$44.19 B
10,"Heineken N.V.
AMS-HEIA",$42.91 B
