Rank,Empire,Description,Total Market Cap,Countries,% of Global,% of Empire Total
1,Empire 1.0: Steam & Colonies,British Commonwealth,$14.24 T,21,8.43%,11.79%
2,Empire 2.0: Oil & Silicon,United States,$80.16 T,1,47.45%,66.38%
3,"Empire 3.0: Rare Earths, Renewables & Robotics",China + Hong Kong + Taiwan,$26.36 T,3,15.60%,21.83%
