Rank,Company,Market Cap
1,"ROCHE GS
SWX-ROG",$381.85 B
2,"Novartis AG
NVS",$323.85 B
3,"NESTLE N
SWX-NESN",$281.01 B
4,"ABB LTD N
SWX-ABBN",$169.73 B
5,"Chubb Limited
CB",$133.31 B
6,"UBS Group AG
LON-0R3T",$128.95 B
7,"RICHEMONT N
SWX-CFR",$120.27 B
8,"ZURICH INSURANCE N
SWX-ZURN",$107.46 B
9,"Swiss Re AG
SWX-SREN",$52.16 B
10,"Holcim AG
SWX-HOLN",$49.68 B
