Rank,Company,Market Cap
1,"Tencent
HKG-0700",$603.02 B
2,"ICBC
SHA-601398",$343.58 B
3,"Alibaba
BABA",$322.15 B
4,"Agricultural Bank of China
SHA-601288",$318.76 B
5,"PetroChina
SHA-601857",$282.12 B
6,"China Construction Bank
HKG-0939",$272.1 B
7,"Kweichow Moutai
SHA-600519",$265.67 B
8,"Contemporary Amperex
SHE-300750",$235.87 B
9,"Bank of China Limited
SHA-601988",$233.27 B
10,"China Mobile
SHA-600941",$222.71 B
