Rank,Company,Market Cap
1,"BHP Group Limited
ASX-BHP",$210.97 B
2,"Commonwealth Bank of Australia
ASX-CBA",$207.69 B
3,"National Australia Bank Limited
ASX-NAB",$106.7 B
4,"Westpac Banking
ASX-WBC",$103.32 B
5,"ANZ Group Holdings Limited
ASX-ANZ",$85.73 B
6,"Wesfarmers Limited
ASX-WES",$64.3 B
7,"Macquarie Group Limited
ASX-MQG",$55.53 B
8,"CSL Limited
ASX-CSL",$50.25 B
9,"F
Fortescue Ltd
ASX-FMG",$46.29 B
10,"Goodman Group
ASX-GMG",$42.09 B
