Rank,Company,Market Cap
1,"Royal Bank of Canada
RY",$206.6 B
2,"Shopify
SHOP",$203.02 B
3,"The Toronto-Dominion Bank
TD",$138.03 B
4,"Brookfield
BN",$104.08 B
5,"Enbridge Inc
ENB",$103.96 B
6,"Bank of Montreal
BMO",$91.97 B
7,"Brookfield Asset Management Ltd.
BAM",$90.81 B
8,"Agnico Eagle Mines Limited
AEM",$89.79 B
9,"The Bank of Nova Scotia
BNS",$80.17 B
10,"Canadian Imperial Bank of Commerce
CM",$76.1 B
