Rank,Company,Market Cap
1,"ROCHE GS
SWX-ROG",$305.9 B
2,"Novartis AG
NVS",$252.43 B
3,"NESTLE N
SWX-NESN",$245.87 B
4,"ABB LTD N
SWX-ABBN",$136.11 B
5,"UBS Group AG
LON-0R3T",$124.86 B
6,"RICHEMONT N
SWX-CFR",$118.5 B
7,"Chubb Limited
CB",$110.96 B
8,"ZURICH INSURANCE N
SWX-ZURN",$102.95 B
9,"Swiss Re AG
SWX-SREN",$56.61 B
10,"Garmin Ltd.
GRMN",$48.01 B
