Rank,Company,Market Cap
1,"NVIDIA
NVDA",$4.3 T
2,"Apple
AAPL",$4.12 T
3,"Alphabet (Google)
GOOG",$3.86 T
4,"Microsoft
MSFT",$3.66 T
5,"Amazon
AMZN",$2.49 T
6,"Broadcom
AVGO",$1.9 T
7,"Meta Platforms
META",$1.63 T
8,"Tesla
TSLA",$1.43 T
9,"Berkshire Hathaway
BRK.B",$1.11 T
10,"Eli Lilly
LLY",$962.96 B
