Rank,Company,Market Cap
1,"Samsung
KRX-005930",$489.21 B
2,"SK HYNIX
KRX-000660",$269.7 B
3,"LG Energy Solution, Ltd.
KRX-373220",$77.35 B
4,"Samsung Biologics Co.,Ltd.
KRX-207940",$60.73 B
5,"Doosan Enerbility
KRX-034020",$39.7 B
6,"HD Hyundai Heavy Industries Co.,Ltd.
KRX-329180",$37.22 B
7,"Hanwha Aerospace
KRX-012450",$35.2 B
8,"Hyundai Motor Company
KRX-005380",$33.75 B
9,"Kia
KRX-000270",$32.34 B
10,"KB Financial Group
KB",$29.48 B
