Rank,Empire,Description,Total Market Cap,Countries,% of Global,% of Empire Total
1,Empire 1.0: Steam & Colonies,British Commonwealth,$12.36 T,21,8.13%,11.39%
2,Empire 2.0: Oil & Silicon,United States,$71.66 T,1,47.12%,66.04%
3,"Empire 3.0: Rare Earths, Renewables & Robotics",China + Hong Kong + Taiwan,$24.49 T,3,16.10%,22.57%
