Rank,Company,Market Cap
1,"Spotify Technology S.A.
SPOT",$142.41 B
2,"Investor AB (publ)
STO-INVE.B",$97.92 B
3,"Atlas Copco AB (publ)
LON-0XXT",$82.22 B
4,"AB Volvo (publ)
LON-0HTP",$56.88 B
5,"EQT AB (publ)
LON-0AAZ",$41.68 B
6,"ASSA ABLOY AB (publ)
STO-ASSA.B",$38.66 B
7,"Skandinaviska Enskilda Banken AB (publ)
LON-0HBY",$37.98 B
8,"Sandvik AB (publ)
LON-0HC0",$35.33 B
9,"Swedbank AB (publ)
STO-SWED.A",$34.09 B
10,"H
Hexagon AB (publ)
STO-HEXA.B",$31.92 B
