Rank,Company,Market Cap
1,"LVMH
EPA-MC",$314.09 B
2,"HERMES INTL
EPA-RMS",$246.92 B
3,"L'OREAL
EPA-OR",$228.12 B
4,"Schneider Electric SE
LON-0NWV",$160.4 B
5,"ESSILORLUXOTTICA
EPA-EL",$145.92 B
6,"SAFRAN
EPA-SAF",$143.78 B
7,"TotalEnergies SE
TTE",$125.88 B
8,"Sanofi
SNY",$117.88 B
9,"AIR LIQUIDE
EPA-AI",$113.29 B
10,"CHRISTIAN DIOR
EPA-CDI",$106.8 B
