Rank,Company,Market Cap
1,"ROCHE GS
SWX-ROG",$310.04 B
2,"Novartis AG
NVS",$251.3 B
3,"NESTLE N
SWX-NESN",$241.49 B
4,"ABB LTD N
SWX-ABBN",$133.26 B
5,"UBS Group AG
LON-0R3T",$127.36 B
6,"Chubb Limited
CB",$112.64 B
7,"RICHEMONT N
SWX-CFR",$111.92 B
8,"ZURICH INSURANCE N
SWX-ZURN",$100.89 B
9,"Swiss Re AG
SWX-SREN",$55.77 B
10,"Garmin Ltd.
GRMN",$48.38 B
