Rank,Company,Market Cap
1,"Commonwealth Bank of Australia
ASX-CBA",$179.7 B
2,"BHP Group Limited
ASX-BHP",$139.48 B
3,"Westpac Banking
ASX-WBC",$87.13 B
4,"National Australia Bank Limited
ASX-NAB",$85.89 B
5,"ANZ Group Holdings Limited
ASX-ANZ",$67.58 B
6,"CSL Limited
ASX-CSL",$65.79 B
7,"Wesfarmers Limited
ASX-WES",$65.73 B
8,"Macquarie Group Limited
ASX-MQG",$52.43 B
9,"Goodman Group
ASX-GMG",$44.19 B
10,"F
Fortescue Ltd
ASX-FMG",$38.33 B
