Rank,Company,Market Cap
1,"Reliance Industries
LON-RIGD",$210.58 B
2,"HDFC Bank Limited
HDB",$169.84 B
3,"Bharti Airtel Limited
NSE-BHARTIARTL",$132.17 B
4,"Tata Consultancy Services
NSE-TCS",$123.56 B
5,"ICICI Bank Limited
IBN",$111.13 B
6,"State Bank of India
NSE-SBIN",$91.67 B
7,"Bajaj Finance Limited
NSE-BAJFINANCE",$71.68 B
8,"Infosys Limited
INFY",$69.76 B
9,"Hindustan Unilever Limited
NSE-HINDUNILVR",$67.01 B
10,"Life Insurance Corporation of India
NSE-LICI",$64.04 B
