Rank,Company,Market Cap
1,"NVIDIA
NVDA",$4.58 T
2,"Microsoft
MSFT",$3.82 T
3,"Apple
AAPL",$3.68 T
4,"Alphabet (Google)
GOOG",$2.96 T
5,"Amazon
AMZN",$2.35 T
6,"Meta Platforms
META",$1.8 T
7,"Broadcom
AVGO",$1.68 T
8,"Tesla
TSLA",$1.45 T
9,"Berkshire Hathaway
BRK.B",$1.06 T
10,"Oracle
ORCL",$878.07 B
