Rank,Empire,Description,Total Market Cap,Countries,% of Global,% of Empire Total
1,Empire 1.0: Steam & Colonies,British Commonwealth,$12.25 T,21,8.22%,11.53%
2,Empire 2.0: Oil & Silicon,United States,$69.99 T,1,46.95%,65.86%
3,"Empire 3.0: Rare Earths, Renewables & Robotics",China + Hong Kong + Taiwan,$24.03 T,3,16.12%,22.61%
