Rank,Company,Market Cap
1,"Samsung
KRX-005930",$424.77 B
2,"SK HYNIX
KRX-000660",$200.3 B
3,"LG Energy Solution, Ltd.
KRX-373220",$58.89 B
4,"Samsung Biologics Co.,Ltd.
KRX-207940",$50.75 B
5,"Hanwha Aerospace
KRX-012450",$35.71 B
6,"Doosan Enerbility
KRX-034020",$34.74 B
7,"Hyundai Motor Company
KRX-005380",$33.75 B
8,"HD Hyundai Heavy Industries Co.,Ltd.
KRX-329180",$32.08 B
9,"KB Financial Group
KB",$28.5 B
10,"N
NAVER
KRX-035420",$27.4 B
