Rank,Company,Market Cap
1,"TSMC
TSM",$1.2 T
2,"Hon Hai Precision Industry
TPE-2317",$96.18 B
3,"Delta Electronics
TPE-2308",$86.98 B
4,"MediaTek
TPE-2454",$68.14 B
5,"Fubon Financial Holding
TPE-2881",$39.98 B
6,"Quanta Computer
TPE-2382",$36.9 B
7,"Chunghwa Telecom
CHT",$33.48 B
8,"Cathay Financial Holding
TPE-2882",$31.14 B
9,"CTBC Financial Holding
TPE-2891",$26.93 B
10,"ASE Technology Holding
ASX",$24.5 B
