Rank,Company,Market Cap
1,"SAP SE
SAP",$311.8 B
2,"SIEMENS
ETR-SIE",$220.99 B
3,"Deutsche Telekom AG
LON-0MPH",$162.68 B
4,"ALLIANZ SE NA O.N.
ETR-ALV",$162.4 B
5,"Siemens Energy AG
ETR-ENR",$107.08 B
6,"Rheinmetall AG
ETR-RHM",$99.89 B
7,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
ETR-MUV2",$84.23 B
8,"D
Deutsche Bank Aktiengesellschaft
ETR-DBK",$67.51 B
9,"Siemens Healthineers AG
ETR-SHL",$61 B
10,"Mercedes-Benz Group AG
ETR-MBG",$59.55 B
