Rank,Company,Market Cap
1,"LVMH
EPA-MC",$319.05 B
2,"HERMES INTL
EPA-RMS",$253.76 B
3,"L'OREAL
EPA-OR",$250.58 B
4,"Schneider Electric SE
LON-0NWV",$184.17 B
5,"TotalEnergies SE
TTE",$170.13 B
6,"SAFRAN
EPA-SAF",$166.87 B
7,"BNP PARIBAS ACT.A
EPA-BNP",$124.11 B
8,"ESSILORLUXOTTICA
EPA-EL",$123.16 B
9,"AIR LIQUIDE
EPA-AI",$121.69 B
10,"Sanofi
SNY",$117.29 B
