Rank,Company,Market Cap
1,"NVIDIA
NVDA",$4.86 T
2,"Alphabet (Google)
GOOG",$4.23 T
3,"Apple
AAPL",$3.98 T
4,"Microsoft
MSFT",$2.99 T
5,"Amazon
AMZN",$2.78 T
6,"Broadcom
AVGO",$1.92 T
7,"Meta Platforms
META",$1.53 T
8,"Tesla
TSLA",$1.4 T
9,"Walmart
WMT",$1.04 T
10,"Berkshire Hathaway
BRK.B",$1.03 T
