Rank,Company,Market Cap
1,"Reliance Industries
LON-RIGD",$210.64 B
2,"HDFC Bank Limited
HDB",$169.07 B
3,"Bharti Airtel Limited
NSE-BHARTIARTL",$132.07 B
4,"Tata Consultancy Services
NSE-TCS",$121.25 B
5,"ICICI Bank Limited
IBN",$111.36 B
6,"State Bank of India
NSE-SBIN",$91.64 B
7,"Bajaj Finance Limited
NSE-BAJFINANCE",$71.63 B
8,"Infosys Limited
INFY",$69.55 B
9,"Hindustan Unilever Limited
NSE-HINDUNILVR",$66.56 B
10,"Life Insurance Corporation of India
NSE-LICI",$64.59 B
