Rank,Company,Market Cap
1,"Toyota Motor
TM",$246.47 B
2,"Mitsubishi UFJ Financial Group
MUFG",$171.7 B
3,"Sony Group
SONY",$169.65 B
4,"HITACHI
TYO-6501",$127.93 B
5,"FAST RETAILING CO LTD
TYO-9983",$104.47 B
6,"Sumitomo Mitsui Financial Group
SMFG",$98.42 B
7,"Nintendo
OTC-NTDOY",$95.07 B
8,"KEYENCE CORP
TYO-6861",$91.85 B
9,"M
Mitsubishi Heavy Industries, Ltd.
TYO-7011",$88.45 B
10,"M
Mitsubishi
TYO-8058",$88.15 B
