Rank,Company,Market Cap
1,"Royal Bank of Canada
RY",$204.22 B
2,"Shopify
SHOP",$198.69 B
3,"The Toronto-Dominion Bank
TD",$136.08 B
4,"Brookfield
BN",$103.89 B
5,"Enbridge Inc
ENB",$103.61 B
6,"Bank of Montreal
BMO",$91.4 B
7,"Brookfield Asset Management Ltd.
BAM",$91.2 B
8,"Agnico Eagle Mines Limited
AEM",$86 B
9,"The Bank of Nova Scotia
BNS",$79.64 B
10,"Canadian Imperial Bank of Commerce
CM",$74.7 B
