Rank,Company,Market Cap
1,"Spotify Technology S.A.
SPOT",$140.65 B
2,"Investor AB (publ)
STO-INVE.B",$98.3 B
3,"Atlas Copco AB (publ)
LON-0XXT",$81.35 B
4,"AB Volvo (publ)
LON-0HTP",$56.53 B
5,"EQT AB (publ)
LON-0AAZ",$41.34 B
6,"ASSA ABLOY AB (publ)
STO-ASSA.B",$38.82 B
7,"Skandinaviska Enskilda Banken AB (publ)
LON-0HBY",$37.58 B
8,"Sandvik AB (publ)
LON-0HC0",$35.35 B
9,"Swedbank AB (publ)
STO-SWED.A",$34.26 B
10,"Telefonaktiebolaget LM Ericsson (publ)
ERIC",$32.08 B
