Rank,Company,Market Cap
1,"SAP SE
SAP",$301.49 B
2,"SIEMENS
ETR-SIE",$219.4 B
3,"ALLIANZ SE NA O.N.
ETR-ALV",$152.75 B
4,"Deutsche Telekom AG
LON-0MPH",$147.98 B
5,"Siemens Energy AG
ETR-ENR",$105.44 B
6,"Rheinmetall AG
ETR-RHM",$90.04 B
7,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
ETR-MUV2",$79.7 B
8,"D
Deutsche Bank Aktiengesellschaft
ETR-DBK",$68.02 B
9,"Mercedes-Benz Group AG
ETR-MBG",$62.37 B
10,"Siemens Healthineers AG
ETR-SHL",$62.33 B
