Rank,Company,Market Cap
1,"Shopify
SHOP",$225.96 B
2,"Royal Bank of Canada
RY",$206 B
3,"The Toronto-Dominion Bank
TD",$140.87 B
4,"Brookfield
BN",$105.7 B
5,"Enbridge Inc
ENB",$101.76 B
6,"Bank of Montreal
BMO",$89.06 B
7,"Brookfield Asset Management Ltd.
BAM",$87.33 B
8,"The Bank of Nova Scotia
BNS",$81.5 B
9,"Agnico Eagle Mines Limited
AEM",$80.73 B
10,"Canadian Imperial Bank of Commerce
CM",$77.08 B
