Rank,Company,Market Cap
1,"Investor AB (publ)
STO-INVE.B",$128.01 B
2,"Spotify Technology S.A.
SPOT",$105.99 B
3,"Atlas Copco AB (publ)
LON-0XXT",$101.13 B
4,"AB Volvo (publ)
LON-0HTP",$79.45 B
5,"Sandvik AB (publ)
LON-0HC0",$55.63 B
6,"ASSA ABLOY AB (publ)
STO-ASSA.B",$47.54 B
7,"Swedbank AB (publ)
STO-SWED.A",$43.33 B
8,"Skandinaviska Enskilda Banken AB (publ)
LON-0HBY",$42 B
9,"Saab AB (publ)
LON-0GWL",$39.02 B
10,"Telefonaktiebolaget LM Ericsson (publ)
ERIC",$38.65 B
