Rank,Company,Market Cap
1,"ASML Holding N.V.
ASML",$561.49 B
2,"AIRBUS SE
LON-0KVV",$171.7 B
3,"Prosus N.V.
AMS-PRX",$120.39 B
4,"ING Groep N.V.
ING",$84.07 B
5,"NXP Semiconductors N.V.
NXPI",$57.36 B
6,"Ferrovial SE
LON-0P2N",$53.88 B
7,"Heineken N.V.
AMS-HEIA",$51.63 B
8,"argenx SE
ARGX",$47.54 B
9,"K
Koninklijke Ahold Delhaize N.V.
AMS-AD",$43.76 B
10,"Universal Music Group N.V.
AMS-UMG",$41.4 B
