Rank,Company,Market Cap
1,"Royal Bank of Canada
RY",$204.26 B
2,"Shopify
SHOP",$203.49 B
3,"The Toronto-Dominion Bank
TD",$135.14 B
4,"Enbridge Inc
ENB",$103.05 B
5,"Brookfield
BN",$101 B
6,"Agnico Eagle Mines Limited
AEM",$93.19 B
7,"Bank of Montreal
BMO",$89.42 B
8,"Brookfield Asset Management Ltd.
BAM",$87.34 B
9,"The Bank of Nova Scotia
BNS",$79.47 B
10,"Canadian Imperial Bank of Commerce
CM",$74.57 B
