Rank,Company,Market Cap
1,"ASML Holding N.V.
ASML",$396.62 B
2,"AIRBUS SE
LON-0KVV",$189.67 B
3,"Prosus N.V.
AMS-PRX",$151.99 B
4,"ING Groep N.V.
ING",$68.87 B
5,"NXP Semiconductors N.V.
NXPI",$54.81 B
6,"Adyen N.V.
OTC-ADYEY",$53.85 B
7,"argenx SE
ARGX",$50.8 B
8,"Universal Music Group N.V.
AMS-UMG",$50.8 B
9,"Ferrovial SE
LON-0P2N",$45.26 B
10,"Heineken N.V.
AMS-HEIA",$45.11 B
