Rank,Company,Market Cap
1,"TSMC
TSM",$1.26 T
2,"Hon Hai Precision Industry
TPE-2317",$101 B
3,"Delta Electronics
TPE-2308",$84.61 B
4,"MediaTek
TPE-2454",$69.12 B
5,"Fubon Financial Holding
TPE-2881",$41.01 B
6,"Quanta Computer
TPE-2382",$36.64 B
7,"Chunghwa Telecom
CHT",$33.41 B
8,"Cathay Financial Holding
TPE-2882",$31.47 B
9,"CTBC Financial Holding
TPE-2891",$27.29 B
10,"ASE Technology Holding
ASX",$27.18 B
