Rank,Company,Market Cap
1,"Saudi Aramco
TADAWUL-2222",$1.63 T
2,"Al Rajhi Banking and Investment
TADAWUL-1120",$115.4 B
3,"Saudi Arabian Mining Company (Ma'aden)
TADAWUL-1211",$69.33 B
4,"The Saudi National Bank
TADAWUL-1180",$61.21 B
5,"Saudi Telecom Company
TADAWUL-7010",$59.74 B
6,"Saudi Basic Industries
TADAWUL-2010",$49.39 B
7,"ACWA Power Company
TADAWUL-2082",$47.97 B
8,"Dr. Sulaiman Al Habib Medical Services Group Company
TADAWUL-4013",$25.89 B
9,"Riyad Bank
TADAWUL-1010",$22.08 B
10,"Elm Company
TADAWUL-7203",$19.31 B
