Rank,Company,Market Cap
1,"Reliance Industries
LON-RIGD",$215.16 B
2,"HDFC Bank Limited
HDB",$173.78 B
3,"Bharti Airtel Limited
NSE-BHARTIARTL",$134.08 B
4,"Tata Consultancy Services
NSE-TCS",$122.22 B
5,"ICICI Bank Limited
IBN",$115.19 B
6,"State Bank of India
NSE-SBIN",$93.09 B
7,"Bajaj Finance Limited
NSE-BAJFINANCE",$75.23 B
8,"Infosys Limited
INFY",$69.39 B
9,"Hindustan Unilever Limited
NSE-HINDUNILVR",$68.43 B
10,"Life Insurance Corporation of India
NSE-LICI",$64.31 B
