Rank,Company,Market Cap
1,"Commonwealth Bank of Australia
ASX-CBA",$181.46 B
2,"BHP Group Limited
ASX-BHP",$143.49 B
3,"National Australia Bank Limited
ASX-NAB",$86.14 B
4,"Westpac Banking
ASX-WBC",$85.4 B
5,"ANZ Group Holdings Limited
ASX-ANZ",$70.42 B
6,"CSL Limited
ASX-CSL",$68.18 B
7,"Wesfarmers Limited
ASX-WES",$65.66 B
8,"Macquarie Group Limited
ASX-MQG",$53.91 B
9,"Goodman Group
ASX-GMG",$44.46 B
10,"Atlassian
TEAM",$39.38 B
