Rank,Company,Market Cap
1,"Spotify Technology S.A.
SPOT",$136.73 B
2,"Investor AB (publ)
STO-INVE.B",$99.78 B
3,"Atlas Copco AB (publ)
LON-0XXT",$83.26 B
4,"AB Volvo (publ)
LON-0HTP",$57.9 B
5,"EQT AB (publ)
LON-0AAZ",$40.94 B
6,"ASSA ABLOY AB (publ)
STO-ASSA.B",$40.32 B
7,"Skandinaviska Enskilda Banken AB (publ)
LON-0HBY",$37.79 B
8,"Sandvik AB (publ)
LON-0HC0",$36.38 B
9,"Swedbank AB (publ)
STO-SWED.A",$34.15 B
10,"H
Hexagon AB (publ)
STO-HEXA.B",$32.04 B
