Rank,Company,Market Cap
1,"TSMC
TSM",$1.65 T
2,"Delta Electronics
TPE-2308",$118.39 B
3,"Hon Hai Precision Industry
TPE-2317",$108.14 B
4,"MediaTek
TPE-2454",$98.95 B
5,"ASE Technology Holding
ASX",$54.06 B
6,"Fubon Financial Holding
TPE-2881",$41.03 B
7,"Cathay Financial Holding
TPE-2882",$37.26 B
8,"Quanta Computer
TPE-2382",$35.81 B
9,"CTBC Financial Holding
TPE-2891",$35.01 B
10,"Chunghwa Telecom
CHT",$33.23 B
