Rank,Company,Market Cap
1,"Reliance Industries
LON-RIGD",$207.63 B
2,"HDFC Bank Limited
HDB",$150.1 B
3,"Bharti Airtel Limited
NSE-BHARTIARTL",$124.46 B
4,"State Bank of India
NSE-SBIN",$121.83 B
5,"ICICI Bank Limited
IBN",$108.45 B
6,"Tata Consultancy Services
NSE-TCS",$104.81 B
7,"Bajaj Finance Limited
NSE-BAJFINANCE",$67.91 B
8,"Hindustan Unilever Limited
NSE-HINDUNILVR",$66.37 B
9,"Larsen & Toubro Limited
NSE-LT",$64.67 B
10,"Life Insurance Corporation of India
NSE-LICI",$59.01 B
