Rank,Company,Market Cap
1,"NVIDIA
NVDA",$5.31 T
2,"Alphabet (Google)
GOOG",$4.59 T
3,"Apple
AAPL",$4.52 T
4,"Microsoft
MSFT",$3.42 T
5,"Amazon
AMZN",$2.84 T
6,"Broadcom
AVGO",$2.16 T
7,"Tesla
TSLA",$1.58 T
8,"Meta Platforms
META",$1.56 T
9,"Micron Technology
MU",$1.16 T
10,"Berkshire Hathaway
BRK.B",$1.02 T
