Rank,Company,Market Cap
1,"Toyota Motor
TM",$319.44 B
2,"Mitsubishi UFJ Financial Group
MUFG",$215.16 B
3,"HITACHI
TYO-6501",$151.06 B
4,"Sumitomo Mitsui Financial Group
SMFG",$147.08 B
5,"Sony Group
SONY",$138.87 B
6,"FAST RETAILING CO LTD
TYO-9983",$135.73 B
7,"T
Tokyo Electron Limited
TYO-8035",$129.28 B
8,"A
Advantest
TYO-6857",$125.95 B
9,"M
Mitsubishi
TYO-8058",$124.94 B
10,"Mizuho Financial Group
MFG",$112.77 B
