Rank,Empire,Description,Total Market Cap,Countries,% of Global,% of Empire Total
1,Empire 1.0: Steam & Colonies,British Commonwealth,$14.13 T,21,8.40%,11.69%
2,Empire 2.0: Oil & Silicon,United States,$79.05 T,1,47.01%,65.41%
3,"Empire 3.0: Rare Earths, Renewables & Robotics",China + Hong Kong + Taiwan,$27.67 T,3,16.45%,22.90%
